label,Molecular Weight,Isoelectric point,Charge density,Charge,Instability index,Aromaticity,Aliphatic index,Boman index,Hydrophobic ratio,freq_A,freq_C,freq_D,freq_E,freq_F,freq_G,freq_H,freq_I,freq_N,freq_K,freq_L,freq_M,freq_P,freq_Q,freq_R,freq_S,freq_T,freq_V,freq_W,freq_Y
1,4472.41,11.0496,0.00134,5.998,54.2568,0.0227,108.8636,0.3148,0.5227,0.2273,0.0,0.0227,0.0455,0.0227,0.0455,0.0,0.0682,0.0,0.1591,0.0682,0.0227,0.0909,0.0,0.0227,0.0682,0.0227,0.1136,0.0,0.0
0,8672.24,10.7268,0.00103,8.931,67.2338,0.013,96.3636,2.159,0.4026,0.0909,0.0519,0.013,0.0779,0.013,0.013,0.026,0.1039,0.039,0.0909,0.0909,0.013,0.0909,0.026,0.1039,0.0779,0.039,0.039,0.0,0.0
0,1803.96,10.7422,0.00055,0.997,83.0647,0.1176,28.8235,2.08,0.2941,0.0588,0.0,0.0,0.0588,0.1176,0.0588,0.0,0.0,0.0588,0.0,0.0588,0.0588,0.0588,0.0,0.0588,0.3529,0.0588,0.0,0.0,0.0
0,2290.99,12.8438,0.00087,1.996,5.481,0.0476,176.1905,-2.0976,0.7143,0.0476,0.0,0.0,0.0,0.0476,0.0952,0.0,0.0476,0.0,0.0476,0.2857,0.1429,0.0,0.0476,0.0,0.0,0.0952,0.1429,0.0,0.0
0,8749.87,6.6816,-4e-05,-0.307,69.0055,0.1507,70.6849,2.49,0.3562,0.0137,0.0822,0.0822,0.0685,0.0548,0.0411,0.0137,0.0411,0.0548,0.0411,0.0959,0.0137,0.0274,0.0274,0.0959,0.0822,0.0137,0.0548,0.0,0.0959
1,4953.89,11.4973,0.00214,10.59,69.5022,0.0222,56.2222,2.658,0.3556,0.0222,0.1333,0.0,0.0,0.0222,0.1333,0.0,0.0667,0.0444,0.0667,0.0222,0.0222,0.0444,0.0889,0.1556,0.0667,0.0444,0.0667,0.0,0.0
1,2473.11,13.0781,0.00162,3.995,19.5083,0.125,150.4167,-1.7262,0.625,0.125,0.0,0.0,0.0,0.125,0.1667,0.0,0.125,0.0,0.125,0.1667,0.0,0.0417,0.0,0.0,0.0,0.0417,0.0833,0.0,0.0
1,4468.12,11.5605,0.0009,4.028,38.578,0.0488,107.561,1.8424,0.5122,0.2439,0.0244,0.0732,0.0,0.0244,0.0,0.0244,0.0244,0.0244,0.0244,0.1707,0.0,0.0,0.0244,0.122,0.0732,0.0976,0.0244,0.0244,0.0
1,2069.32,3.3218,-0.00148,-3.069,72.0316,0.0526,102.6316,1.0653,0.4737,0.0526,0.0526,0.1579,0.0526,0.0526,0.0,0.0,0.1579,0.0526,0.0,0.0526,0.0526,0.0526,0.0,0.0,0.1579,0.0526,0.0526,0.0,0.0
0,1583.73,4.1504,-0.00063,-1.002,107.1067,0.0667,72.0,1.0993,0.4667,0.2667,0.0,0.0,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0667,0.0667,0.0,0.1333,0.0,0.2,0.0,0.0667,0.0,0.0667
0,6654.99,12.2674,0.00443,29.452,209.4796,0.0612,13.8776,8.3276,0.2449,0.0204,0.1633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0408,0.0,0.0204,0.0,0.0,0.551,0.0816,0.0204,0.0408,0.0,0.0612
0,1211.33,6.5,-0.0,-0.004,52.5231,0.1538,82.3077,-0.6938,0.3846,0.0,0.0,0.0769,0.0,0.1538,0.3846,0.0,0.0769,0.0,0.0,0.0769,0.0,0.0,0.0,0.0,0.1538,0.0,0.0769,0.0,0.0
1,2090.34,9.5488,0.00097,2.026,61.9222,0.1667,53.8889,1.4383,0.2222,0.0,0.0556,0.0,0.0,0.0,0.1111,0.0556,0.0,0.0556,0.0,0.0556,0.0,0.1111,0.1111,0.0556,0.1111,0.0,0.1111,0.0556,0.1111
1,4200.2,12.2129,0.00309,12.994,34.5886,0.1143,67.1429,2.3677,0.4,0.1143,0.0,0.0286,0.0,0.0571,0.0571,0.0,0.0,0.0286,0.2571,0.1429,0.0857,0.0,0.0,0.1143,0.0571,0.0,0.0,0.0286,0.0286
1,1620.78,9.7354,0.00061,0.996,54.2813,0.125,48.75,1.0431,0.1875,0.0,0.0,0.0,0.0625,0.0625,0.3125,0.0,0.0,0.0,0.0,0.125,0.0,0.125,0.0625,0.0625,0.125,0.0,0.0,0.0,0.0625
0,2986.61,11.3926,0.00135,4.028,22.8889,0.0741,108.5185,0.6348,0.5556,0.1481,0.037,0.0,0.037,0.0741,0.037,0.037,0.037,0.037,0.0741,0.1481,0.037,0.037,0.0,0.0741,0.037,0.0741,0.0741,0.0,0.0
1,3302.78,9.6025,0.00061,2.031,51.8893,0.0714,94.2857,2.6196,0.3929,0.1071,0.0357,0.0357,0.1071,0.0357,0.0357,0.0357,0.1786,0.0357,0.0714,0.0357,0.0,0.0,0.0714,0.1071,0.0357,0.0357,0.0,0.0,0.0357
0,5076.89,11.9248,0.00118,5.991,24.1694,0.0408,83.8776,0.9957,0.4286,0.1633,0.0612,0.0,0.0,0.0,0.1224,0.0408,0.0204,0.0,0.0,0.1224,0.0204,0.0408,0.0408,0.102,0.102,0.0816,0.0408,0.0408,0.0
1,1899.17,12.1089,0.00263,4.994,146.4545,0.6364,0.0,4.3918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3636,0.0,0.0,0.0,0.4545,0.1818
0,2754.17,9.5693,0.00104,2.86,42.8261,0.1739,38.2609,2.3643,0.3478,0.0435,0.087,0.0435,0.0,0.0435,0.087,0.0,0.0435,0.1304,0.0,0.0435,0.087,0.0435,0.0,0.1304,0.087,0.0,0.0,0.0435,0.087
1,7214.43,4.9688,-0.00028,-2.031,56.5825,0.0635,114.4444,1.1319,0.4444,0.0476,0.0317,0.0476,0.1111,0.0317,0.0476,0.0159,0.0952,0.0159,0.0635,0.127,0.0317,0.0476,0.0476,0.0476,0.0476,0.0317,0.0794,0.0159,0.0159
0,7803.94,6.9702,-1e-05,-0.041,22.58,0.1385,82.4615,2.2655,0.4,0.0308,0.0769,0.1385,0.0462,0.0769,0.0462,0.0462,0.0615,0.0154,0.0923,0.1077,0.0,0.0154,0.0154,0.0769,0.0,0.0462,0.0462,0.0,0.0615
0,3688.44,10.4219,0.00054,1.997,21.5706,0.1765,106.1765,-0.7662,0.5588,0.0882,0.0,0.0294,0.0294,0.1765,0.0882,0.0,0.0882,0.0,0.0882,0.1176,0.0294,0.0882,0.0,0.0,0.0882,0.0294,0.0588,0.0,0.0
1,2159.74,13.8047,0.00324,6.995,114.62,0.2667,104.0,1.9607,0.4,0.0,0.0,0.0,0.0,0.0667,0.0,0.0,0.0667,0.0,0.2,0.2,0.0667,0.0,0.0,0.2,0.0,0.0,0.0,0.2,0.0
1,2901.34,7.4355,0.0002,0.592,54.1172,0.0345,46.8966,0.6997,0.3448,0.0,0.2069,0.0,0.0345,0.0,0.1724,0.0,0.0345,0.069,0.0,0.0345,0.0,0.1034,0.0,0.0345,0.1034,0.1034,0.069,0.0345,0.0
1,7836.21,9.5063,0.00087,6.788,58.8913,0.1014,67.8261,1.5087,0.3913,0.0145,0.087,0.029,0.0145,0.0725,0.087,0.029,0.0145,0.029,0.058,0.1449,0.0435,0.0435,0.058,0.0725,0.087,0.0725,0.0145,0.0,0.029
0,2596.24,11.8013,0.00149,3.861,31.256,0.0,136.4,0.012,0.52,0.04,0.08,0.0,0.0,0.0,0.16,0.0,0.0,0.0,0.0,0.28,0.04,0.08,0.0,0.12,0.04,0.08,0.08,0.0,0.0
0,2576.1,10.2832,0.00116,2.996,-5.545,0.15,92.5,2.4415,0.4,0.0,0.0,0.1,0.05,0.05,0.0,0.0,0.1,0.05,0.15,0.1,0.1,0.0,0.0,0.1,0.0,0.05,0.05,0.0,0.1
1,8729.02,9.4912,0.00098,8.552,43.4544,0.0222,77.2222,0.8743,0.4333,0.1778,0.0889,0.0222,0.0,0.0,0.1111,0.0111,0.0667,0.0222,0.0667,0.0444,0.0,0.0556,0.0222,0.0444,0.1778,0.0111,0.0556,0.0,0.0222
1,1477.89,13.8633,0.00406,5.996,25.2167,0.0,178.3333,3.045,0.5833,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.1667,0.0,0.0833,0.0833,0.0,0.0,0.0,0.3333,0.0,0.0,0.25,0.0,0.0
0,7769.11,10.6045,0.00076,5.93,43.7054,0.0676,87.027,0.6588,0.4324,0.1216,0.0135,0.027,0.027,0.0541,0.0811,0.0,0.0811,0.0405,0.0946,0.0405,0.027,0.1081,0.0405,0.027,0.0676,0.0405,0.0946,0.0,0.0135
1,7276.49,8.6895,0.00014,1.038,43.4844,0.0625,106.7188,1.6197,0.4219,0.0469,0.0156,0.0312,0.125,0.0625,0.0938,0.0156,0.0312,0.0156,0.0781,0.2188,0.0312,0.0156,0.0312,0.0781,0.0625,0.0312,0.0156,0.0,0.0
1,2861.53,11.2788,0.00175,4.995,-12.1286,0.0,139.2857,-0.1032,0.4643,0.1071,0.0,0.0357,0.0,0.0,0.0714,0.0,0.1429,0.0,0.1786,0.1071,0.0,0.0714,0.0,0.0,0.0714,0.1071,0.1071,0.0,0.0
0,2393.7,4.5381,-0.00042,-1.0,25.8318,0.0909,102.2727,0.9341,0.5455,0.2273,0.0,0.0455,0.1364,0.0909,0.0,0.0,0.0455,0.0455,0.0909,0.0909,0.0,0.0,0.0455,0.0,0.0455,0.0455,0.0909,0.0,0.0
0,2502.19,12.8438,0.00084,2.094,6.4696,0.087,182.1739,-2.013,0.6957,0.0435,0.0,0.0,0.0,0.087,0.087,0.0435,0.2174,0.0,0.0435,0.1739,0.087,0.0,0.0,0.0,0.1304,0.0,0.087,0.0,0.0
1,1937.31,3.6875,-0.00107,-2.068,14.3588,0.1176,177.6471,-0.84,0.6471,0.0,0.0588,0.0588,0.1176,0.1176,0.0588,0.0,0.2353,0.0588,0.0,0.1765,0.0,0.0,0.0,0.0,0.0588,0.0,0.0588,0.0,0.0
1,3890.49,9.7505,0.0018,6.986,98.5152,0.0606,35.4545,3.6152,0.303,0.0,0.1818,0.0,0.0303,0.0303,0.0606,0.1212,0.0606,0.0,0.0303,0.0303,0.0,0.0303,0.0303,0.1818,0.1818,0.0,0.0,0.0,0.0303
1,3321.12,12.2559,0.00361,11.993,91.1042,0.2083,109.5833,3.6746,0.3333,0.0,0.0,0.0,0.0,0.0417,0.0,0.0,0.0417,0.0,0.1667,0.2083,0.0,0.0417,0.0,0.2917,0.0,0.0,0.0417,0.0417,0.125
1,5612.57,9.8901,0.00168,9.456,27.7277,0.1277,35.3191,3.033,0.383,0.0638,0.1702,0.0,0.0426,0.0638,0.0426,0.0,0.0213,0.0851,0.0851,0.0213,0.0,0.0213,0.0426,0.1489,0.0213,0.0638,0.0426,0.0213,0.0426
0,1836.12,12.1621,0.00272,4.995,-2.7471,0.1176,63.5294,2.0935,0.3529,0.1765,0.0,0.0,0.0,0.0588,0.1765,0.0,0.0,0.0588,0.1176,0.1176,0.0,0.0,0.0588,0.1176,0.0588,0.0,0.0,0.0,0.0588
0,3913.53,13.957,0.0023,8.995,87.8743,0.0857,72.5714,2.7589,0.4571,0.1714,0.0,0.0,0.0,0.0857,0.0,0.0,0.0,0.0286,0.0571,0.0571,0.0286,0.0,0.0571,0.1714,0.2,0.0286,0.1143,0.0,0.0
1,5802.74,9.4895,0.00146,8.455,55.6846,0.0769,24.4231,2.9533,0.2885,0.0192,0.1538,0.0577,0.0192,0.0385,0.0962,0.0,0.0577,0.0192,0.1154,0.0,0.0192,0.0577,0.0,0.1154,0.1154,0.0769,0.0,0.0,0.0385
0,6237.18,8.999,0.0006,3.726,33.5683,0.0667,83.0,1.2205,0.45,0.1333,0.0667,0.0667,0.0,0.0333,0.1,0.0,0.0333,0.0333,0.0333,0.0833,0.0167,0.05,0.0,0.0833,0.0833,0.0667,0.0833,0.0,0.0333
1,2999.46,9.5283,0.00037,1.099,13.9654,0.0385,97.6923,1.9212,0.4231,0.1538,0.0,0.0,0.1538,0.0,0.0,0.0385,0.0769,0.0385,0.1154,0.0769,0.0385,0.0,0.0769,0.0385,0.0385,0.0385,0.0769,0.0,0.0385
0,3603.31,12.584,0.00175,6.291,62.8774,0.0645,116.4516,1.4745,0.4194,0.0645,0.0,0.0,0.0,0.0323,0.0323,0.0968,0.0645,0.0,0.0323,0.1935,0.0323,0.0323,0.0,0.129,0.0645,0.1613,0.0323,0.0,0.0323
0,5844.68,6.9229,-1e-05,-0.076,9.8018,0.0714,90.5357,0.4862,0.4821,0.1071,0.0714,0.0536,0.0,0.0536,0.0714,0.0357,0.0357,0.0536,0.0179,0.0893,0.0179,0.0357,0.0357,0.0179,0.0893,0.0893,0.1071,0.0,0.0179
1,1593.79,6.75,-0.0,-0.003,29.3929,0.1429,125.0,0.3957,0.4286,0.0,0.0,0.0,0.0714,0.0714,0.0,0.0,0.1429,0.1429,0.0,0.0714,0.0,0.0,0.0,0.0,0.2857,0.0,0.1429,0.0714,0.0
0,1255.54,12.8438,0.00159,1.996,99.1833,0.0833,56.6667,-0.24,0.3333,0.0,0.0,0.0,0.0,0.0833,0.0833,0.0,0.0,0.0,0.0833,0.0833,0.0833,0.3333,0.0,0.0,0.1667,0.0,0.0833,0.0,0.0
0,1648.88,6.9375,-0.0,-0.001,29.9688,0.0,85.0,1.2337,0.4375,0.125,0.0,0.0625,0.125,0.0,0.0625,0.0,0.0,0.0,0.125,0.0,0.0625,0.0,0.0,0.0,0.125,0.0625,0.25,0.0,0.0
0,1427.55,4.1724,-0.0007,-1.002,2.2364,0.1818,35.4545,4.0691,0.3636,0.0,0.0,0.1818,0.0909,0.1818,0.0,0.0,0.0,0.1818,0.0,0.0909,0.0909,0.0,0.0909,0.0909,0.0,0.0,0.0,0.0,0.0
1,1666.08,13.8633,0.0036,5.996,165.7231,0.0769,150.0,3.1354,0.3846,0.0,0.0,0.0,0.0,0.0,0.0769,0.0,0.2308,0.0,0.0769,0.1538,0.0,0.0,0.0,0.3077,0.0769,0.0,0.0,0.0769,0.0
1,2072.43,11.1104,0.00283,5.859,49.3375,0.125,42.5,5.3,0.25,0.0,0.125,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0625,0.0625,0.0,0.0,0.0625,0.3125,0.0,0.0625,0.0625,0.0,0.125
1,6544.55,10.7786,0.00153,10.02,32.5109,0.1273,56.7273,2.698,0.3091,0.0182,0.0727,0.0364,0.0,0.0545,0.1091,0.0545,0.0545,0.0364,0.0727,0.0727,0.0182,0.0182,0.0909,0.1273,0.0727,0.0,0.0182,0.0182,0.0545
0,1280.47,9.7598,0.0015,1.927,107.2315,0.1538,37.6923,0.2854,0.3077,0.0769,0.0769,0.0,0.0,0.0769,0.3077,0.0,0.0769,0.0,0.0,0.0,0.0,0.1538,0.0,0.0769,0.0769,0.0,0.0,0.0,0.0769
1,4003.7,10.0669,0.0005,1.995,35.5342,0.0789,123.1579,-0.0745,0.4474,0.0526,0.0,0.0,0.0263,0.0263,0.1053,0.0,0.1579,0.0263,0.0263,0.1053,0.0526,0.0263,0.0263,0.0263,0.2105,0.0263,0.0526,0.0,0.0526
1,2407.65,6.8125,-0.0,-0.003,42.695,0.15,63.5,1.724,0.2,0.05,0.0,0.0,0.1,0.0,0.1,0.0,0.15,0.0,0.05,0.0,0.0,0.05,0.3,0.0,0.0,0.05,0.0,0.05,0.1
1,1641.92,10.7646,0.00365,5.992,80.5175,0.4167,8.3333,3.4433,0.1667,0.0833,0.0,0.0,0.0,0.0833,0.0833,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.0,0.3333
0,5048.84,11.251,0.00116,5.861,52.0022,0.087,78.2609,1.6078,0.413,0.0652,0.0435,0.0,0.0217,0.0652,0.0217,0.0,0.0,0.0652,0.0435,0.087,0.0217,0.0652,0.0217,0.087,0.1739,0.0652,0.1304,0.0,0.0217
0,3164.91,11.6035,0.00221,6.993,23.8308,0.1538,112.3077,1.0188,0.4231,0.0,0.0,0.0,0.0,0.0769,0.0,0.0,0.1154,0.0769,0.1538,0.1154,0.0385,0.1154,0.0,0.0769,0.0769,0.0,0.0769,0.0,0.0769
1,3045.64,8.123,0.00085,2.592,33.7,0.0345,73.7931,0.8283,0.4828,0.0345,0.2069,0.0,0.0345,0.0345,0.069,0.0,0.069,0.069,0.069,0.0345,0.0,0.069,0.0345,0.0345,0.1379,0.0,0.1034,0.0,0.0
0,4842.91,12.9717,0.00433,20.992,63.4395,0.0263,82.1053,5.2347,0.2105,0.0,0.0,0.0,0.0,0.0,0.0263,0.0,0.0,0.2105,0.3158,0.2105,0.0,0.0,0.0,0.2105,0.0,0.0,0.0,0.0,0.0263
0,4636.4,12.5889,0.00149,6.928,53.8109,0.0217,80.8696,1.1917,0.4565,0.1957,0.0217,0.0,0.0,0.0217,0.0652,0.0,0.0217,0.0217,0.0435,0.087,0.0435,0.0435,0.0217,0.087,0.1522,0.1087,0.0652,0.0,0.0
1,4453.21,10.3309,0.00112,5.007,78.8944,0.0,75.8333,4.0728,0.1944,0.0,0.0,0.0,0.2778,0.0,0.0,0.0,0.0833,0.0833,0.3611,0.1111,0.0,0.0,0.0,0.0278,0.0278,0.0278,0.0,0.0,0.0
0,3222.82,11.8838,0.00187,6.026,54.9923,0.1923,45.0,2.2035,0.4231,0.0385,0.0385,0.0,0.0,0.1538,0.0,0.0385,0.0385,0.0,0.0769,0.0385,0.0769,0.0385,0.1154,0.1154,0.1538,0.0,0.0385,0.0,0.0385
1,2533.95,10.4414,0.00079,1.996,5.33,0.15,97.5,1.449,0.3,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.15,0.15,0.05,0.1,0.05,0.05,0.05,0.05,0.0,0.15,0.0,0.1,0.05
1,10407.25,11.1251,0.00116,12.1,47.1303,0.0674,83.3708,2.0944,0.3708,0.0674,0.0,0.0112,0.0674,0.0562,0.0225,0.0112,0.0787,0.0562,0.1461,0.1011,0.0449,0.0337,0.0899,0.0562,0.0449,0.0787,0.0225,0.0,0.0112
0,3111.56,10.0767,0.00189,5.891,34.3821,0.0714,10.3571,3.0014,0.1429,0.0,0.1071,0.0357,0.0357,0.0,0.1071,0.0357,0.0,0.0714,0.2143,0.0,0.0,0.1071,0.0,0.0357,0.1071,0.0357,0.0357,0.0,0.0714
1,3012.49,11.7261,0.00172,5.193,31.7692,0.0385,104.6154,2.88,0.3462,0.0385,0.0,0.0769,0.0,0.0,0.0769,0.0769,0.0385,0.0769,0.0769,0.0769,0.0,0.0385,0.0,0.1538,0.0,0.0385,0.1923,0.0,0.0385
1,4133.91,9.1899,0.0014,5.788,53.3778,0.1667,43.3333,1.2108,0.4167,0.0278,0.1667,0.0278,0.0,0.1111,0.1111,0.0556,0.0278,0.0,0.0833,0.0556,0.0,0.0556,0.0,0.0833,0.0833,0.0278,0.0278,0.0556,0.0
0,10330.68,8.8223,0.00021,2.165,56.9923,0.0659,90.8791,2.1256,0.3626,0.022,0.022,0.033,0.0659,0.044,0.022,0.033,0.033,0.0549,0.022,0.1209,0.022,0.033,0.022,0.0879,0.1429,0.0989,0.0989,0.0,0.022
0,4184.78,12.4062,0.00173,7.225,76.2306,0.0,62.2222,3.6928,0.2222,0.0,0.0278,0.0278,0.0,0.0,0.0,0.0833,0.0556,0.0556,0.0278,0.0833,0.0278,0.0833,0.0,0.1667,0.1111,0.2222,0.0278,0.0,0.0
0,1495.7,4.4512,-0.00067,-1.001,105.1833,0.1667,56.6667,2.05,0.3333,0.0,0.0,0.0,0.25,0.0833,0.0,0.0,0.0833,0.0,0.0,0.0,0.0833,0.1667,0.0,0.0833,0.0833,0.0,0.0833,0.0,0.0833
0,1617.88,9.7402,0.00068,1.094,62.46,0.1333,84.6667,-0.362,0.4667,0.1333,0.0,0.0,0.0,0.0667,0.1333,0.0667,0.0,0.0,0.0,0.1333,0.0667,0.0667,0.1333,0.0,0.0667,0.0,0.0667,0.0,0.0667
0,1802.25,9.9888,0.00214,3.859,53.3,0.125,79.375,0.3963,0.4375,0.0625,0.125,0.0,0.0,0.0,0.125,0.0,0.0625,0.0,0.125,0.125,0.0625,0.0625,0.0,0.0625,0.0625,0.0,0.0,0.0,0.125
0,2406.93,9.6982,0.00274,6.589,37.3708,0.0,24.5833,1.7083,0.375,0.0833,0.25,0.0,0.0,0.0,0.1667,0.0,0.0,0.0,0.2083,0.0417,0.0,0.0,0.0417,0.0417,0.125,0.0417,0.0,0.0,0.0
1,1496.76,12.8438,0.00133,1.996,36.9385,0.2308,105.3846,-0.3931,0.5385,0.1538,0.0,0.0,0.0,0.1538,0.0,0.0,0.0769,0.0769,0.0769,0.1538,0.0,0.0,0.0,0.0,0.1538,0.0769,0.0,0.0769,0.0
1,4297.87,9.8049,0.00046,1.997,60.6374,0.1143,75.1429,2.3657,0.2571,0.0,0.0,0.0571,0.0571,0.0286,0.0571,0.0,0.1143,0.0857,0.1429,0.0571,0.0286,0.0,0.2286,0.0,0.0,0.0286,0.0286,0.0286,0.0571
1,1894.29,13.873,0.00528,9.995,94.1867,0.0,39.3333,6.514,0.2,0.1333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1333,0.3333,0.0667,0.0,0.0,0.0667,0.2667,0.0,0.0,0.0,0.0,0.0
0,10411.19,8.1271,0.00043,4.52,50.0141,0.086,72.2581,1.4197,0.4086,0.0323,0.1075,0.0538,0.0215,0.0215,0.129,0.0215,0.0215,0.0215,0.0215,0.1075,0.0538,0.0323,0.0323,0.0968,0.0538,0.043,0.0645,0.0323,0.0323
0,1556.74,11.2207,0.00128,1.997,73.8133,0.0667,45.3333,2.702,0.2,0.0,0.0,0.1333,0.0,0.0667,0.2667,0.0,0.0,0.0,0.0667,0.0667,0.0,0.1333,0.0,0.1333,0.0667,0.0,0.0667,0.0,0.0
0,1672.94,11.4004,0.00119,1.996,0.58,0.1333,110.6667,0.8573,0.4667,0.1333,0.0,0.0667,0.0,0.0667,0.1333,0.0,0.1333,0.1333,0.0667,0.0667,0.0,0.0,0.0,0.0667,0.0,0.0,0.0667,0.0667,0.0
1,3321.24,13.3125,0.00301,9.994,-2.9633,0.0667,130.0,-0.051,0.4333,0.0667,0.0,0.0,0.0,0.0333,0.1,0.0,0.1,0.0,0.3,0.1667,0.0,0.0333,0.0,0.0,0.0,0.1,0.0667,0.0333,0.0
1,1589.98,13.1406,0.00314,4.995,-37.1083,0.3333,73.3333,-0.03,0.3333,0.0833,0.0,0.0,0.0,0.0833,0.0833,0.0,0.0833,0.0,0.3333,0.0833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0
0,2463.9,13.8633,0.00207,5.095,66.3478,0.0,68.2609,2.3513,0.4348,0.2174,0.0,0.0,0.0,0.0,0.0435,0.0435,0.0,0.0,0.0,0.087,0.087,0.087,0.0435,0.1739,0.1304,0.0435,0.0435,0.0,0.0
1,3255.69,10.6797,0.00061,1.996,31.6,0.0345,117.5862,1.7445,0.3793,0.069,0.0,0.069,0.0,0.0,0.0,0.0,0.1034,0.1379,0.069,0.1034,0.0,0.0,0.069,0.0345,0.069,0.1379,0.1034,0.0345,0.0
0,1626.95,6.75,-0.0,-0.003,39.7333,0.1333,72.0,-0.6253,0.6,0.2,0.0,0.0,0.0667,0.1333,0.0667,0.0,0.0667,0.0,0.0,0.0667,0.1333,0.0667,0.0667,0.0,0.0,0.1333,0.0,0.0,0.0
0,1907.19,7.4355,0.00031,0.592,60.075,0.0625,0.0,3.4194,0.375,0.0,0.375,0.0625,0.0625,0.0,0.0625,0.0,0.0,0.0625,0.0,0.0,0.0,0.0,0.125,0.125,0.0,0.0625,0.0,0.0625,0.0
0,1548.73,9.7598,0.00124,1.927,89.274,0.1333,58.6667,1.0673,0.3333,0.0667,0.0667,0.0,0.0,0.0667,0.1333,0.0,0.0,0.0,0.0,0.1333,0.0,0.0,0.0,0.0667,0.2667,0.1333,0.0,0.0,0.0667
0,5060.39,4.1599,-0.00097,-4.897,70.9,0.1136,55.4545,2.5755,0.1818,0.0227,0.0,0.0909,0.1364,0.0227,0.0682,0.0227,0.0,0.0227,0.0682,0.1364,0.0,0.0455,0.0227,0.0227,0.1364,0.0909,0.0,0.0455,0.0455
